,title,address,description,price,date,seller,image
293,5 bedroom detached house for sale,"10 Ravenswood Drive, Heaton, Bolton, BL1 5AJ","Superb 4/5 bedroom detached residence occupying a prominent, elevated position on a half an acre plot in Heaton. Prime, sought after location Extensive, versatile accommodation Generous gardens to front, side and rear Potential to extend STPP Generous driveway offering am...","£925,000",08/12/2022," PLM, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77103/125506310/77103_21620_IMG_43_0000_max_476x317.jpeg
294,5 bedroom detached house for sale,"Crowndale, Edgworth, BL7 Wonderful Family Home, No Chain","A wonderful five bedroom detached family home enjoying accommodation which extends to over 2,800 ft.² positioned in a quiet cul-de-sac with a private garden gate which virtually opens out into the countryside. The substantial home is perfectly placed for exploring the fabulous countryside ...","£925,000",today," Cardwells Sales, Lettings, Management & Commercial, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13084/130213319/13084_11716442_IMG_00_0000_max_476x317.jpeg
295,4 bedroom detached house for sale,"Chorley New Road, Lostock, Bolton, Lancashire, BL6",This stunning period detached family home is situated within a fantastic mature and private plot approximately 1/2 of an acre and overlooking Bolton Golf Course. Having been lovingly finished to the highest of standards this truly special property simply must be seen in person to be fully appreci...,"£925,000",23/06/2022," Miller Metcalfe, Horwich",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220895/124230116/220895_RPT160285_IMG_00_0000_max_476x317.jpeg
296,4 bedroom detached house for sale,"Princess Road, Lostock, BL6 4DR","Luxurious and elegant detached family residence Occupying a private gated Hamlet with six other similar styled homes Recently refurbished, decorated with new floorings, new en suite, new ground floor cloakroom Attractive fitted dining/living kitchen Four reception areas & Langley ...","£900,000",29/06/2022," PLM, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77103/124456055/77103_21241_IMG_39_0000_max_476x317.jpeg
297,7 bedroom semi-detached house for sale,"Chorley New Road, Bolton, BL1","***FANTASTIC OPPORTUNITY TO PURCHASE AN IMPRESSIVE VICTORIAN PROPERTY*** Welcome to Hurst Bank West, set behind a leafy setting just off Chorley New Road, this impressive Victorian property of epic proportions is being welcomed to the market. The property is in need of uplift but is pe...","£900,000",12/09/2022," Miller Metcalfe, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220871/126995738/220871_BTN220402_IMG_00_0000_max_476x317.jpeg
298,4 bedroom detached house for sale,"80 Chorley New Road, Lostock","Planning Permission Granted to Create 5458 sqft! Desirable & Sought after Location Architectural Drawings available to View Within easy reach of Bolton School, Clevelands Prep, Motorway and Rail Links Superb plot~ viewing “ A must ”   Tastefully modernised fou...","£900,000",20/04/2022," PLM, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77103/122608022/77103_14588_IMG_00_0000_max_476x317.jpeg
299,6 bedroom bungalow for sale,"Ryecroft Drive, Westhoughton","NOW HERE'S SOMETHING YOU DON'T SEE EVERY DAY! ARE YOU LOOKING FOR A SPACIOUS BUNGALOW SET ON A LARGE PLOT OF LAND? This property has SIX BEDROOMS THREE BATHROOMS AND MULTIPLE RECEPTION ROOMS including a HYDROTHERAPY ROOM. The bungalow is complemented by wider doors, gentle sloped entra (cont.)","£900,000",11/11/2022," Price and Co, Westhoughton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98483/129003245/98483_PAB1001096_IMG_00_0000_max_476x317.jpeg
300,2 bedroom apartment for sale,"Sweetstone Gardens, Sharples","A fabulous top floor duplex two bed apartment available now with no upward chain. Sweetstone Gardens is a sought after development tucked away just off Blackburn Road and as such being in close proximity to highly regarded local nurseries, schools, amenities and excellent transport links.Warmed...","£198,250",22/12/2022," Cardwells Sales, Lettings, Management & Commercial, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/14k/13084/130177316/13084_11794827_IMG_00_0000_max_476x317.jpeg
301,5 bedroom detached house for sale,"Irlams Farm, Chorley Road, Westhoughton, Bolton, Lancashire, BL5 3NH",LARGE PLOT OF LAND - DEVELOPMENT OPPORTUNITY - INCLUDING DETACHED FAMILY HOME,"£2,500,000",16/05/2022," Harrisons Estate Agents, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242354/114996884/242354_HRR_HRR_LFSYCL_345_75775003_IMG_26_0001_max_476x317.jpeg
302,5 bedroom detached house for sale,"Old Kiln Lane, Heaton, BL1 7PY","Simply stunning five bedroom detached residence offering approx. 7,500 sq.feet Approx 2 acre plot ( including ¾ acre plot offering potential for a detached dwelling STPP) 1,000 sq ft detached barn - Potential to convert to detached cottage/ gym/office STPP Superb quality & ...","£2,300,000",02/09/2021," PLM, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77103/112850171/77103_17138_IMG_00_0000_max_476x317.jpeg
